date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,Premier League,Manchester City,Nottingham,0-2,3.51,4.07,1.61,2026-03-04T17:50:44Z
2026-03-04,Premier League,Manchester City,Nottingham,2-0,1.01,8.32,24.87,2026-03-04T17:50:44Z
2026-03-04,Premier League,Manchester City,Nottingham,0-3,6.75,5.6,1.21,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-1,4.5,4.38,1.43,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-1,4.51,4.41,1.43,2026-03-04T13:26:24Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-1,4.53,4.42,1.42,2026-03-04T08:56:38Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-1,4.57,4.43,1.42,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-2,9.16,6.25,1.14,2026-03-04T13:26:24Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-2,9.19,6.23,1.14,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-2,9.23,6.26,1.13,2026-03-04T08:56:38Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-2,9.31,6.29,1.13,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,1-0,1.47,4.3,4.24,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,1-0,1.47,4.31,4.19,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,1-0,1.47,4.31,4.2,2026-03-04T08:56:38Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2-0,1.15,6.04,8.48,2026-03-04T08:56:38Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2-0,1.15,6.05,8.6,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2-0,1.16,6.03,8.44,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2-0,1.16,6.03,8.45,2026-03-04T13:26:24Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3-0,1.03,8.37,15.6,2026-03-04T08:56:38Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3-0,1.03,8.37,15.79,2026-03-03T21:14:25Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3-0,1.04,8.34,15.5,2026-03-04T07:07:45Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3-0,1.04,8.35,15.51,2026-03-04T13:26:24Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-1,4.47,4.38,1.43,2026-03-04T14:59:35Z
2026-03-04,Premier League,Newcastle,Manchester Utd,1-0,1.47,4.31,4.23,2026-03-04T14:59:35Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-2,9.08,6.21,1.14,2026-03-04T14:59:35Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2-0,1.15,6.05,8.55,2026-03-04T14:59:35Z
