date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-04-04,2025-04-05,handball,denmark,female,totals,Silkeborg-Voel,NFH,over,1.88,0.5595,0.05185999999999996,NA,360,58.5,TRUE,317,gsheets
2025-04-04,2025-04-05,handball,denmark,female,totals,Viborg,Horsens,over,1.78,0.633,0.12674000000000002,NA,975,54.5,TRUE,760,gsheets
2025-04-04,2025-04-05,handball,denmark,male,totals,Aalborg,Kolding,over,1.89,0.586,0.10753999999999986,NA,1500,60.5,TRUE,1335,gsheets
2025-04-07,2025-04-09,handball,denmark,male,totals,Grindsted,Kolding,over,1.78,0.74,0.31720000000000004,NA,2250,54.5,TRUE,1755,gsheets
2025-04-11,2025-04-12,handball,denmark,male,handicap,GOG,Mors,away,1.8,0.58525,0.05345000000000011,NA,675,-2.5,TRUE,540,gsheets
2025-04-11,2025-04-12,handball,denmark,male,handicap,Odder,HOJ,home,1.85,0.62225,0.15116249999999998,NA,1815,6.5,FALSE,-1815,gsheets
2025-04-11,2025-04-12,handball,denmark,male,handicap,Roskilde,FIF,home,1.85,0.66825,0.23626250000000004,NA,2835,5.5,TRUE,2410,gsheets
2025-04-11,2025-04-12,handball,denmark,male,handicap,Skjern,Ribe-Esbjerg,away,1.87,0.57825,0.08132750000000011,NA,960,-3.5,TRUE,835,gsheets
2025-04-11,2025-04-12,handball,denmark,male,handicap,Sydhavsoerne,Faaborg,away,1.91,0.5555,0.06100499999999997,NA,690,-4.5,TRUE,628,gsheets
2025-04-11,2025-04-12,handball,denmark,male,handicap,Tonder,Aarhus Handbold,home,1.8,0.59025,0.06245000000000011,NA,795,1.5,TRUE,636,gsheets
2025-04-11,2025-04-12,handball,denmark,male,outcome,Kolding,Sonderjyske,away,2.38,0.71,0.6897999999999999,NA,2550,NA,FALSE,-2550,gsheets
2025-04-11,2025-04-12,handball,denmark,male,outcome,Tonder,Aarhus Handbold,home,2.63,0.4645,0.22163500000000003,NA,885,NA,FALSE,-885,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,Aalborg,Nordsjaelland,over,1.87,0.63025,0.1785675,NA,2100,60.5,FALSE,-2100,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,Bjerringbro/Silkeborg,Grindsted,under,1.95,0.56025,0.09248750000000006,NA,990,60.5,FALSE,-990,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,GOG,Mors,over,1.85,0.6105,0.12942500000000012,NA,1560,63.5,FALSE,-1560,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,Kolding,Sonderjyske,over,1.95,0.53375,0.04081249999999992,NA,435,58.5,FALSE,-435,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,Odder,HOJ,under,1.85,0.61575,0.13913750000000014,NA,1665,59.5,TRUE,1415,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,Roskilde,FIF,under,1.85,0.60125,0.11231249999999993,NA,1350,60.5,FALSE,-1350,gsheets
2025-04-11,2025-04-12,handball,denmark,male,totals,Sydhavsoerne,Faaborg,under,1.85,0.7095,0.31257500000000005,NA,3750,59.5,TRUE,3188,gsheets
2025-09-11,2025-09-12,handball,denmark,female,totals,Ringkobing,EH Aalborg,over,1.75,0.74475,0.3033125000000001,NA,540,55.5,TRUE,405,gsheets
2025-09-11,2025-09-12,handball,denmark,female,totals,Sonderjyske,Viborg,under,1.97,0.677,0.33369000000000004,NA,465,61.5,TRUE,451,gsheets
2025-09-11,2025-09-12,handball,denmark,male,handicap,Fredericia,Skanderborg AGF,home,2.1,0.55275,0.160775,NA,195,-1.5,FALSE,-195,gsheets
