date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-04-17,Besta Deildin,Valur,ÍBV,0-2,5.81,5.26,1.27,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Valur,ÍBV,3-0,1.01,8.96,19.26,2026-04-16T09:36:56Z
2026-04-17,Besta Deildin,Valur,ÍBV,1-0,1.33,4.78,5.33,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-1,3.36,4.12,1.64,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Valur,ÍBV,2-0,1.1,6.84,10.79,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-2,6.44,5.46,1.23,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Valur,ÍBV,3-0,1.02,8.86,18.29,2026-04-16T20:52:17Z
2026-04-17,Besta Deildin,Valur,ÍBV,1-0,1.4,4.54,4.63,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-1,3.8,4.27,1.53,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Valur,ÍBV,2-0,1.13,6.41,9.28,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Valur,ÍBV,0-2,7.43,5.81,1.19,2026-04-17T09:23:29Z
2026-04-17,Besta Deildin,Valur,ÍBV,3-0,1.03,8.61,16.42,2026-04-17T09:23:29Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,1-0,2.04,3.77,2.53,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,0-1,8.1,5.44,1.19,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,2-0,1.39,4.64,4.64,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,0-2,16.32,7.83,1.04,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,3-0,1.13,6.59,8.99,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,1-0,1.91,3.85,2.73,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,0-1,7.35,5.26,1.21,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,2-0,1.34,4.84,5.07,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,0-2,14.96,7.63,1.05,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,Keflavík,Breiðablik,3-0,1.11,6.9,9.81,2026-04-22T09:27:31Z
2026-04-22,Besta Deildin,ÍA,KA,0-1,3.74,4.12,1.56,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,ÍA,KA,1-0,1.37,4.53,5.01,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,ÍA,KA,0-2,7.45,5.67,1.19,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,ÍA,KA,2-0,1.11,6.53,10.3,2026-04-21T15:21:26Z
2026-04-22,Besta Deildin,ÍA,KA,0-3,14.07,8.03,1.05,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,Valur,FH,1-0,1.41,4.6,4.43,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,Valur,FH,0-1,3.58,4.31,1.57,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,Valur,FH,2-0,1.14,6.39,8.66,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,Valur,FH,0-2,6.82,5.75,1.21,2026-04-21T15:21:26Z
